nomor_pkk,nomor_spb
PKK.DN.IDSUB.2502.000985,SPB.IDSUB.0325.0000714
PKK.DN.IDLBR.2503.000118,SPB.IDLBR.0325.0000122
PKK.LN.IDGRE.2503.000455,SPB.IDGRE.0325.0000562
PKK.DN.IDBDJ.2503.001615,SPB.IDBDJ.0325.0002359
PKK.DN.IDBDJ.2503.001622,SPB.IDBDJ.0325.0002358
PKK.DN.IDBJU.2503.000077,SPB.IDBJU.0325.0000089
PKK.DN.IDSMQ.2503.000247,SPB.IDSMQ.0325.0000298
PKK.DN.IDBDJ.2503.001151,SPB.IDBDJ.0325.0002361
PKK.DN.IDBDJ.2503.001149,SPB.IDBDJ.0325.0002360
PKK.DN.IDBDJ.2503.002144,SPB.IDBDJ.0325.0002356
PKK.DN.IDBDJ.2503.000776,SPB.IDBDJ.0325.0002354
PKK.DN.IDBDJ.2503.002141,SPB.IDBDJ.0325.0002357
PKK.DN.IDBDJ.2503.000778,SPB.IDBDJ.0325.0002355
PKK.DN.IDKOE.2503.000105,SPB.IDKOE.0325.0000120
PKK.DN.IDSUB.2503.000219,SPB.IDSUB.0325.0000713
PKK.DN.IDSUB.2503.000531,SPB.IDSUB.0325.0000712
PKK.DN.IDSUB.2503.000625,SPB.IDSUB.0325.0000711
PKK.DN.IDSUB.2503.000504,SPB.IDSUB.0325.0000710
PKK.DN.IDBDJ.2503.002137,SPB.IDBDJ.0325.0002352
PKK.DN.IDSUB.2503.000309,SPB.IDSUB.0325.0000709
PKK.DN.IDBDJ.2503.001834,SPB.IDBDJ.0325.0002353
PKK.DN.IDBDJ.2503.002138,SPB.IDBDJ.0325.0002350
PKK.DN.IDBDJ.2503.001835,SPB.IDBDJ.0325.0002349
PKK.DN.IDBDJ.2503.002017,SPB.IDBDJ.0325.0002348
PKK.DN.IDBDJ.2503.002227,SPB.IDBDJ.0325.0002346
PKK.DN.IDGRE.2503.000245,SPB.IDGRE.0325.0000559
PKK.LN.IDGRE.2503.000426,SPB.IDGRE.0325.0000558
PKK.DN.IDGRE.2503.000525,SPB.IDGRE.0325.0000557
PKK.DN.IDBDJ.2503.002016,SPB.IDBDJ.0325.0002351
